inventory_id,store_unit,item_number,active_flag,id,item_number_str,item_desc
37307867,13611,84509,0,37307867,84509,ELTGASRANG 
37308331,13619,82927,0,37308331,82927,OTL FS RNG
37316091,18112,48502,0,37316091,48502,ELECTRIC D ROP IN RANGE
37684803,18670,89093,0,37684803,89093,SAMS 28CF  FDBM GNG
37784357,13583,41289,0,37784357,41289,RANGE S I GAS
37906799,16322,14132,0,37906799,14132,28 CU  FT  SAM  3 DOOR FR
38061529,13790,75472,0,38061529,75472,69472 KME
38141853,13583,38693,0,38141853,38693,36 IN GAS  CT
38230669,13611,26419,0,38230669,26419,36 GAS CT 
38390839,13583,38632,0,38390839,38632,WHITE  RAN KME GE  SLIDE
38734675,13790,48531,0,38734675,48531,SS RANGE   SLIDE DROP IN
38734679,13790,54353,0,38734679,54353,30 ELITE S KME WO
38735777,14207,32183,0,38735777,32183,WRM DRW ICON
38735789,14207,55990,0,38735789,55990,KM WRM DWR KME
38735805,14207,62783,0,38735805,62783,JA 32 HOOD SS
38750299,13606,32183,0,38750299,32183,WRM DRW ICON
38753639,18756,86697,0,38753639,86697,OTL SP HOOD WP
38801795,13619,82927,0,38801795,82927,OTL FS RNG
39290015,13606,82493,0,39290015,82493,SS  GAS DRY WHT
39334641,13606,9733,0,39334641,9733,23CF  CTRDPT
39445881,18670,49972,0,39445881,49972,FDG  GSLIDE
39552051,13595,77062,0,39552051,77062,KME KME 28 MJSTY 2BST E
39552053,13595,77063,0,39552053,77063,KME KME 28 MJSTY 2BST E
39622489,16322,26169,0,39622489,26169,DI RANGE WHIRLPOOL
39677673,13595,23667,0,39677673,23667,SAMSUNG DI SAM SHWASHER
39871077,13001,8493,0,39871077,8493,EMA BEV CR 
39871079,13001,8620,0,39871079,8620,EMA BI WC 
39872799,13595,81333,0,39872799,81333,GAS SC  RANGE
39872869,13595,80033,0,39872869,80033,KME 30CF B M GNG
39896889,13619,92592,0,39896889,92592,DV45K6500E W SAM  SAMSUNG
40015005,13583,48502,0,40015005,48502,ELECTRIC D ROP IN RANGE
40211087,13790,48522,0,40211087,48522,WHITE RANG E  SLIDE DROP
40211089,13790,48529,0,40211089,48529,BLACK RANG E  SLIDE DROP
